ㄝ	十乚
ㄞ	一力
ㄟ	乁
ㄠ	幺
ㄡ	又
ㄢ	马
ㄣ	㇞
ㄤ	尢
ㄥ	ㄥ
ㄦ	儿
ㄧ	丨
ㄨ	乂
ㄩ	凵
ㅈ	ㅈ
ㅌ	彐
ㅑ	ㅑ
ㅒ	口
㇀	一
㇁	㇢
㇂	レ
㇃	レ
㇄	乚
㇅	㇅
㇆	㇆
㇇	フ
㇈	㇈
㇉	ㄅ
㇊	㇅
㇋	ㄋ
㇌	ㄋ
㇍	㇅
㇎	㇎
㇏	丶
㇐	一
㇑	丨
㇒	丿
㇓	丿
㇔	丶
㇕	ヿ
㇖	乛
㇗	㇗
㇘	丨一
㇙	レ
㇚	丨
㇛	ㄑ
㇜	ㄥ
㇝	丶
㇞	㇞
㇟	乚
㇠	乙
㇡	ㄋ
㇢	㇢
㇣	口
㐀	卝一
㐁	一囗人
㐂	七七七
㐃	厶丨
㐄	㐄
㐅	乂
㐆	身
㐇	九乙
㐈	入乙
㐉	丁乙
㐊	士乙
㐋	土乙
㐌	𠂉也
㐍	爫乙
㐎	文乙
㐏	五乙
㐐	女又乙
㐑	夂゛乙
㐒	刀口乙
㐓	可乙
㐔	高乙
㐕	由乙
㐖	士口乚
㐗	老乙
㐘	米乙
㐙	豆乙
㐚	五口乙
㐛	亻キ口乙
㐜	一氺丶九
㐝	扌句乙
㐞	甘ㅈ乙
㐟	非乙
㐠	爫子乚乙
㐡	九而大
㐢	氵爫子乙
㐣	广車乙
㐤	九十目ㅈ
㐥	金且力乙
㐦	⺽一ㄅ丨ㅈ手乙
㐧	丶才
㐨	予予
㐩	井井
㐪	亠山人
㐫	亠㐅凵
㐬	云川
㐭	㐭
㐮	衣八井一
㐯	高口香
㐰	亻口
㐱	人彡
㐲	亻大
㐳	亻一儿
㐴	亻夕
㐵	亻一キ
㐶	亻巳
㐷	亻马
㐸	亻欠
㐹	亻气
㐺	亻亻人
㐻	亻冂人
㐼	亻丿廾
㐽	亻风
㐾	亻二儿
㐿	亻手
㑀	亻大丶
㑁	亻屮凵
㑂	亻一冂人
㑃	亻幺力
㑄	亻母
㑅	亻𠂉⺊一
㑆	亻口儿
㑇	亻⺈彐
㑈	亻七小
㑉	亻几歹
㑊	亻亠火
㑋	亻曲
㑌	亻匚王
㑍	亻耒
㑎	亻巛山
㑏	亻宀寸
㑐	亻⺊一小
㑑	亻自
㑒	亼口人
㑓	亻厶キ又
㑔	亻页
㑕	亻山夕
㑖	亻亻口丨
㑗	亻身
㑘	亻戈廾
㑙	亻耳㇗
㑚	亻㇆キ阝
㑛	亻木口
㑜	亻扌斤
㑝	亻王廾
㑞	亻火廾
㑟	亻斤ㅈ
㑠	亻〢又土
㑡	亻艮卩
㑢	亻土厶卩
㑣	亻木木
㑤	亻艹田
㑥	亻日勹彡
㑦	亻户犬
㑧	亻禾子
㑨	亻口矢
㑩	亻罒夕
㑪	亻斉
㑫	亻亽ヿ心
㑬	亻女十口
㑭	亻田丌
㑮	亻冖車
㑯	亻頁
㑰	亻彑豕
㑱	亻矛木
㑲	亻十冂⺷
