	Jd	
足	Lo	Lov
走	Lt	
赱	Lt	
行	Lv	
舛	Lv	Lvv
⾈	Lz	
舟	Lz	Lzv
木	Mu	
朩	Mu	
𣎳	Mu	
未	Mw	
臣	Nc	
𦣞	Nc	
臣	Nc	Ncv
夫	Nf	
毌	Ng	Ngv
民	Ni	
母	Nm	
大	Nr	
氏	Ns	
女	Nv	
⽏	Nwu	
毋	Nwu	
𣫬	Nwu	
子	Nz	
ㅒ	O	
㇣	O	
口	O	Od
〇	O	Ol
㇒	P	
丿	P	
𠂎	P	
𠂑	P	
丿	P	Pie
凡	Pd	
𠁽	Pd	
丸	Pd	Pdv
九	Pj	
勹	Pk	
句	Po	
⺇	Pp	
几	Pp	
𠘧	Pp	
千	Pq	
用	Pv	
𤰃	Pv	
及	Px	
ㅑ	Q	
丄	Q	
𠂉	Q	
⺊	Qbu	
⼘	Qbu	
卜	Qbu	
𠁡	Qbu	
⿁	Qg	
鬼	Qg	
⺗	Qi	
㣺	Qi	
心	Qi	
忄	Qi	
𢖩	Qi	
⺬	Qs	
示	Qs	
礻	Qs	
𥘅	Qs	
礻	Qs	Qsi
非	Qv	
𠂼	Qv	
𩇦	Qv	
𩇧	Qv	
𩇨	Qv	
⺈	R	
𠂊	R	
ㄦ	Re	
儿	Re	
儿	Re	Rer
亼	Rj	
亽	Rj	
人	Rn	
亻	Rn	
𠆢	Rn	
⼊	Ru	
入	Ru	
⺍	S	
ツ	S	
ㄧ	S	
丨	S	
亅	S	
⺀	Sb	
⼎	Sb	
゛	Sb	
冫	Sb	
〣	Sp	
巛	Sp	
巜	Sp	
川	Sp	
𡿦	Sp	
⺡	Sv	
⺢	Sv	
水	Sv	
氵	Sv	
氺	Sv	
𣱱	Sv	
⼴	Ta	
广	Ta	
⺁	Tc	
厂	Tc	
⻕	Td	
㠯	Td	
𤕪	Td	
𨸏	Td	
㠯	Td	
阝	Te	
阜	Tfu	Tfuv
士	Ti	
石	To	
山	Ts	
土	Tu	
⾕	Tv	
𠔌	Tv	
𧮫	Tv	
谷	Tv	Tvv
邑	Tyi	
𨙨	Tyi	
ㄩ	U	
凵	U	
𠙴	U	
⿍	Uaa	
鼎	Uaa	
𣇓	Uaa	
𪔂	Uaa	
匕	Ub	
香	Ub	
匕	Ubi	
豆	Udo	
斗	Udu	
缶	Uf	Ufv
甘	Uga	
𠀠	Uga	
𤮺	Uga	
⽠	Ugu	
瓜	Ugu	
𥝌	Uh	
禾	Uh	Uhe
韭	Uh	Uhv
米	Ui	
𦥒	Uj	
臼	Uj	Uji
⽾	Ul	
㒳	Ul	
両	Ul	
两	Ul	
兩	Ul	
兩	Ul	
𦓤	Ul	
耒	Ul	Ule
⿀	Uli	
鬲	Uli	Uliv
卤	Ulu	
鹵	Ulu	
𠧪	Ulu	
麥	Um	
麦	Um	
皿	Um	Umv
⻞	Us	
⾷	Us	
食	Us	
飠	Us	
饣	Us	
𩙿	Us	
鬯	Uu	Uuvv
北	Uv	
⽡	Uw	
瓦	Uw	
辛	Ux	
丣	Uy	
酉	Uy	
𠚒	Uy	
⺮	Uzu	
竹	Uzu	
丷	Vb	
八	Vb	
二	Ve	
𠄟	Ve	
𠄠	Ve	
䒑	Vh	
尙	Wa	
尚	Wa	
龸	Wa	
風	Wf	
风	Wf	
風	Wf	Wfv
业	Wh	
⺌	Wi	
小	Wi	
𡭔	Wi	
气	Wq	Wqi
光	Wr	
⻗	Ws	
雨	Ws	
𠕒	Ws	
𠕘	Ws	
𠕲	Ws	
火	Wu	
灬	Wu	
云	Wv	
不	Ww	
𣎴	Ww	
〤	X	
㐅	X	
乂	X	Xyi
支	Xc	
⺕	Xji	
ㅌ	Xji	
彐	Xji	
𠀉	Xji	
釆	Xm	
攵	Xp	
攴	Xp	Xpu
聿	Xv	
肀	Xv	
𦘒	Xv	
爻	Xx	Xxv
⺽	Xx	Xxvv
⽘	Xx	Xxvv
〷	Xx	Xxvv
𦥑	Xx	Xxvv
ス	Xy	
ㄡ	Xy	
又	Xy	
⺥	Xz	
爫	Xz	
𤓰	Xz	
爪	Xz	Xzv
〃	Y	
彡	Y	
⼳	Ya	
幺	Ya	Yaov
⻑	Yc	
⻒	Yc	
長	Yc	
长	Yc	
𨱗	Yc	
𨱘	Yc	
镸	Yc	Ycv
也	Ye	
革	Yge	
⾐	Yi	
衣	Yi	
𧘇	Yi	
衣	Yi	
衤	Yi	Yiv
巾	Yj	
巾	Yj	Yjv
⿇	Ym	
麻	Ym	
麻	Ym	Yma
⽷	Ys	
糸	Ys	
糹	Ys	
纟	Ys	
糸	Ys	Ysv
㡀	Yv	
韋	Yw	
韦	Yw	
乡	Yx	Yxv
⺃	Z	
⺄	Z	
く	Z	
の	Z	
コ	Z	
フ	Z	
レ	Z	
ヿ	Z	
ㄅ	Z	
ㄋ	Z	
ㄑ	Z	
ㄟ	Z	
ㄣ	Z	
ㄥ	Z	
㇁	Z	
㇂	Z	
㇃	Z	
㇄	Z	
㇅	Z	
㇆	Z	
㇈	Z	
㇉	Z	
㇊	Z	
㇋	Z	
㇌	Z	
㇍	Z	
㇎	Z	
㇗	Z	
㇙	Z	
㇛	Z	
㇞	Z	
㇢	Z	
乁	Z	
乚	Z	
乛	Z	
𠃍	Z	
龴	Zd	
⾉	Zg	
艮	Zg	
⺋	Zi	
⼙	Zi	
ㄗ	Zi	
㔾	Zi	
卩	Zi	
卪	Zi	
𠁾	Zi	
⼰	Zj	
己	Zj	
乃	Zn	
丩	Zp	
丩	Zs	
⺒	Zsi	
巳	Zsi	
予	Zv	
𠄔	Zv	
已	Zy	
乙	Zyi	
𠃉	Zyi	
