㇚	㇚
㇛	㇛
㇜	ㄥ
㇝	ㄟ
㇞	㇞
㇟	⺃
㇠	乙
㇡	㇡
㇢	㇢
㇣	㇣
㐄	㐄
㐅	㐅
㐆	㐆
㒳	㒳
㔾	㔾
㔿	㔿
㠯	㠯
㡀	㡀
㣺	㣺
㫣	黾
㸦	㸦
䍏	䍏
䑕	䑕
䒑	䒑
䶹	䶹
一	一
丁	丁
七	七
三	三
丌	丌
不	不
且	且
丗	丗
业	业
両	両
丣	丣
两	两
丨	丨
丩	丩
丬	丬
丯	丯
丰	丰
丱	丱
丶	丶
丷	丷
丿	丿
乀	乀
乁	乁
乂	乂
乃	乃
之	之
乌	乌
乍	乍
乙	乙
乚	乚
乛	乛
九	九
也	也
习	习
乡	乡
亀	亀
亅	亅
了	了
予	予
二	二
亍	亍
云	云
五	五
井	井
亠	亠
亡	亡
亥	亥
人	人
亻	亻
亼	亼
亽	亽
亾	亾
仑	仑
侖	侖
儿	儿
兂	兂
光	光
兎	兎
兔	兔
入	入
兦	亾
兩	兩
八	八
六	六
冂	冂
冃	冃
円	円
冊	冊
册	册
冎	冎
冖	冖
冫	冫
几	几
凵	凵
刀	刀
刂	刂
力	力
勹	勹
匕	匕
匚	匚
匸	匸
十	十
千	千
卄	卄
卅	卅
卌	卌
卜	卜
卝	卝
卩	卩
卪	卪
卯	卯
卵	卵
厂	厂
厶	厶
又	又
及	及
口	口
古	古
句	句
可	可
各	各
囗	囗
四	四
土	土
士	士
壴	壴
夂	夂
夊	夊
夕	夕
大	大
夫	夫
女	女
子	子
宀	宀
寸	寸
小	小
尙	尙
尚	尚
尢	尢
尤	尤
尸	尸
屮	屮
山	山
巛	巛
巜	巜
川	川
工	工
己	己
已	已
巳	巳
巴	巴
巾	巾
干	干
幺	幺
广	广
廴	廴
廾	廾
廿	廿
弋	弋
弓	弓
弗	弗
彐	彐
彑	彑
彡	彡
彳	彳
心	心
忄	忄
戈	戈
戉	戉
戊	戊
戶	戶
户	户
戸	戸
戼	戼
手	手
扌	扌
支	支
攴	攴
攵	攵
文	文
斉	斉
斗	斗
斤	斤
方	方
无	无
旡	旡
日	日
曰	曰
曱	曱
曲	曲
月	月
木	木
朩	朩
未	未
束	束
欠	欠
止	止
歯	歯
歹	歹
歺	歺
殳	殳
毋	毋
毌	毌
母	母
毛	毛
氏	氏
民	民
气	气
水	水
氵	氵
氺	氺
火	火
灬	灬
烏	烏
爪	爪
爫	爫
爿	爿
片	片
牙	牙
牛	牛
牜	牜
犬	犬
犭	犭
王	王
瓜	瓜
瓦	瓦
甘	甘
生	生
用	用
甫	甫
田	田
由	由
甲	甲
甴	甴
疋	疋
疒	疒
癶	癶
白	白
皮	皮
皿	皿
目	目
矢	矢
石	石
示	示
礻	礻
禸	禸
禾	禾
穴	穴
立	立
竜	竜
竹	竹
米	米
糸	糸
糹	糹
纟	纟
缶	缶
罒	罒
羊	羊
羋	羋
羽	羽
老	老
耂	耂
而	而
耒	耒
耳	耳
聿	聿
肀	肀
臣	臣
自	自
至	至
臼	臼
舌	舌
舟	舟
艮	艮
艸	艸
艹	艹
芈	芈
虍	虍
虎	虎
虫	虫
行	行
衣	衣
