⻍	Lrⓞ	
辶	Lrⓞ	chuò
正	Lsⓔ	zhèng
糸	Lsⓘ	sī
亠	Ltⓔ	tóu
穴	Lxⓔ	xué
{兴上}	Lxⓘ	
{步下}	Lxⓘ	
⺌	Lxⓘ	
⺍	Lxⓘ	
小	Lxⓘ	xiǎo
{向框}	Lxⓞ	
向	Lxⓞ	xiàng
子	Lzⓘ	zǐ
予	Lⓔ	yǔ
幺	Lⓘ	yāo
{京上}	Lⓞ	
{亮上}	Lⓞ	
{襄上}	Lⓞ	
〢	Lⓞ	
〣	Lⓞ	
亡	Lⓞ	wáng
兀	Lⓤ	wù
不	Mbⓤ	bù
{冓上}	Mcⓘ	
{華中}	Mcⓘ	
卄	Mcⓘ	cǎo
廾	Mcⓘ	cǎo
艹	Mcⓘ	cao
龷	Mcⓘ	
{阜上}	Mdⓞ	
風	Mfⓔ	fēng
艮	Mgⓔ	gěn
乜	Mmⓔ	miē
七	Mqⓘ	qī
丑	Mrⓔ	chǒu
虫	Mrⓘ	chóng
卅	Msⓐ	sà
卌	Mxⓘ	xì
ナ	Mzⓞ	
也	Mⓔ	yě
{奐上}	Mⓞ	
{曹上}	Mⓞ	
⺈	Mⓞ	
コ	Mⓞ	
ユ	Mⓞ	
冖	Mⓞ	∅
耳	Mⓞ	ěr
{五下}	Mⓤ	
丶	Ndⓘ	diǎn
乀	Ndⓘ	diǎn
缶	Nfⓔ	fǒu
亍	Nrⓤ	chù
厶	Nsⓘ	sī
足	Nzⓤ	zú
{炙上}	Nⓔ	
月	Nⓔ	yuè
{祭上}	Nⓞ	
壬	Nⓞ	rén
大	Pdⓐ	dà
𡗗	Pdⓘ	dí
夫	Pfⓤ	fū
犬	Pqⓘ	quǎn
犭	Pqⓘ	quǎn
豸	Psⓘ	zhì
雨	Pⓔ	yǔ
丱	Qgⓘ	guàn
几	Qjⓘ	jǐ
殳	Qkⓤ	shū
卯	Qmⓘ	mǎo
{乐上}	Qⓞ	
{卬左}	Qⓞ	
{卯左}	Qⓞ	
{发左}	Qⓞ	
{齊右}	Qⓞ	
丩	Qⓞ	∅
鬥	Rdⓔ	dòu
黑	Rhⓞ	hēi
ㄗ	Rjⓔ	
㔾	Rjⓔ	jié
卩	Rjⓔ	jié
丌	Rjⓘ	jī
石	Rkⓐ	shí
身	Rkⓔ	shēn
立	Rlⓘ	lì
門	Rmⓔ	mén
毛	Rmⓘ	máo
{鳥上}	Rnⓘ	
鳥	Rnⓘ	niǎo
{專上}	Rrⓔ	
叀	Rrⓔ	chē
車	Rrⓔ	chē
文	Rⓘ	wén
王	Rⓞ	wáng
{烏上}	Rⓤ	
烏	Rⓤ	wū
户	Shⓤ	hù
戸	Shⓤ	hù
{反彐}	Sjⓘ	
彐	Sjⓘ	jì
{眉上}	Skⓐ	
尸	Skⓐ	shī
舌	Skⓔ	shé
隶	Slⓘ	lì
木	Smⓔ	mù
朩	Smⓔ	mù
爿	Spⓐ	pán
片	Spⓔ	piàn
至	Ssⓘ	zhì
肀	Sⓔ	yù
用	Sⓘ	yòng
{爲下}	Sⓞ	
{飞右}	Sⓞ	
⺀	Sⓞ	
二	Sⓞ	èr
冫	Sⓞ	èr
尢	Sⓞ	wāng
尤	Sⓤ	yóu
火	Thⓞ	huǒ
巾	Tjⓞ	jīn
十	Tkⓐ	shí
尚	Tkⓔ	shàng
夊	Tpⓔ	pū
衤	Tⓘ	yī
{畏下}	Tⓞ	
{衣下}	Tⓞ	
龸	Tⓞ	
由	Tⓤ	yóu
土	Vdⓤ	dù
戶	Vhⓤ	hù
见	Vjⓔ	jiàn
斤	Vjⓞ	jīn
山	Vkⓐ	shān
士	Vkⓔ	shì
龶	Vkⓔ	
耂	Vlⓘ	lǎo
米	Vmⓘ	mǐ
车	Vrⓔ	chē
业	Vⓔ	yè
讠	Vⓔ	yán
{鬯中}	Vⓘ	
⺁	Vⓘ	
乂	Vⓘ	yì
{穀框}	Vⓞ	
隹	Wcⓞ	cuī
合	Whⓔ	hé
申	Wkⓔ	shēn
力	Wlⓘ	lì
僉	Wqⓘ	qiān
禺	Wⓔ	yú
{僉上}	Wⓞ	
{龠上}	Wⓞ	
人	Wⓞ	rén
亻	Wⓞ	rén
リ	Xcⓘ	
䒑	Xcⓘ	cǎo
丷	Xcⓘ	cǎo
钅	Xjⓞ	jīn
{南心}	Xⓞ	
⺷	Xⓞ	
羊	Xⓞ	yáng
刂	Ydⓘ	dāo
阝	Yfⓤ	fù
气	Yqⓘ	qì
{⺮右}	Ysⓤ	
⺮	Ysⓤ	
竹	Ysⓤ	zhú
西	Yxⓘ	xī
{乞上}	Yⓞ	
酉	Yⓤ	yǒu
