瓦	Ww
尢	Wy
尤	Wy
女	Yb
垂	Yc
缶	Yf
非	Yf
谷	Yg
鬼	Yg
{凹无横}	Yk
{周字框}	Yk
{见二}	Yk
冂	Yk
凵	Yk
{豕省}	Ys
三	Ys
氏	Ys
豕	Ys
音	Yy
贝	Zb
亠	Zf
{即字旁}	Zg
艮	Zg
{丘无横}	Zj
斤	Zj
金	Zj
民	Zm
讠	Zy
