{卯左}	Qo	
{发左}	Qo	
{齊右}	Qo	
丩	Qo	∅
鬥	Rde	dòu
黑	Rho	hēi
文	Ri	wén
ㄗ	Rje	
㔾	Rje	jié
卩	Rje	jié
丌	Rji	jī
石	Rka	shí
身	Rke	shēn
立	Rli	lì
門	Rme	mén
毛	Rmi	máo
{鳥上}	Rni	
鳥	Rni	niǎo
王	Ro	wáng
{專上}	Rre	
叀	Rre	chē
車	Rre	chē
{烏上}	Ru	
烏	Ru	wū
户	Shu	hù
戸	Shu	hù
用	Si	yòng
{反彐}	Sji	
彐	Sji	jì
肀	Sji	jì
{眉上}	Ska	
尸	Ska	shī
舌	Ske	shé
隶	Sli	lì
木	Sme	mù
朩	Sme	mù
{爲下}	So	
{飞右}	So	
⺀	So	
二	So	èr
冫	So	èr
尢	So	wāng
爿	Spa	pán
片	Spe	piàn
至	Ssi	zhì
尤	Su	yóu
火	Tho	huǒ
衤	Ti	yī
巾	Tjo	jīn
十	Tka	shí
尚	Tke	shàng
{畏下}	To	
{衣下}	To	
龸	To	
夊	Tpe	pū
由	Tu	yóu
土	Vdu	dù
业	Ve	yè
讠	Ve	yán
戶	Vhu	hù
{鬯中}	Vi	
⺁	Vi	
乂	Vi	yì
见	Vje	jiàn
斤	Vjo	jīn
山	Vka	shān
士	Vke	shì
龶	Vke	
米	Vmi	mǐ
{穀框}	Vo	
ス	Vo	
マ	Vo	
癶	Vo	∅
耂	Vo	∅
车	Vre	chē
壴	Vsu	zhù
隹	Wco	cuī
禺	We	yú
合	Whe	hé
食	Wka	shí
申	Wke	shēn
水	Wko	shuǐ
力	Wli	lì
{僉上}	Wo	
{龠上}	Wo	
人	Wo	rén
亻	Wo	rén
僉	Wqi	qiān
リ	Xci	
䒑	Xci	cǎo
丷	Xci	cǎo
钅	Xjo	jīn
{鸟上}	Xni	
鸟	Xni	niǎo
{南心}	Xo	
⺷	Xo	
羊	Xo	yáng
乌	Xu	wū
刂	Ydi	dāo
阝	Yfu	fù
{乞上}	Yo	
气	Yqi	qì
{⺮右}	Ysu	
⺮	Ysu	
竹	Ysu	zhú
酉	Yu	yǒu
西	Yxi	xī
